"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"24";"";"C-US025-040X050";"C025-040X050";"C1, C2, C3, C4, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40";"CAPACITOR, American symbol";"";"";"";"";
"1";"";"PINHD-2X14";"2X14";"JP5";"PIN HEADER";"";"";"";"";
"4";"";"PINHD-2X4";"2X04";"ADDOUT-SEL, ADDRCLK-SEL, RD-BRDSEL, WR-BRDSEL";"PIN HEADER";"";"";"";"";
"2";"";"RNX8";"RN-9";"RN3, RN4";"RESISTOR NETWORK";"";"";"unknown";"unknown";
"2";"7432N";"7432N";"DIL14";"IC10, IC14";"Quad 2-input OR gate";"";"";"";"";
"2";"74LS00N";"74LS00N";"DIL14";"IC19, IC20";"Quad 2-input NAND gate";"";"";"";"";
"2";"74LS02N";"74LS02N";"DIL14";"IC12, IC15";"Quad 2-input NOR gate";"";"";"";"";
"1";"74LS04N";"74LS04N";"DIL14";"IC13";"Hex INVERTER";"";"";"";"";
"3";"74LS139N";"74LS139N";"DIL16";"IC9, IC11, IC18";"Dual 2-line to 4-line DECODER/DEMULTIPLEXER";"";"";"";"";
"3";"74LS245N";"74LS245N";"DIL20";"IC29, IC30, IC31";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";
"1";"74S244N";"74S244N";"DIL20";"IC41";"Octal BUFFER and LINE DRIVER, 3-state";"";"";"";"";
"10";"74S374N";"74S374N";"DIL20";"IC1, IC2, IC3, IC4, IC5, IC6, IC7, IC8, IC16, IC17";"Octal D type transparent LATCH, edge triggered";"";"";"";"";
"1";"FABC96R";"FABC96R";"FABC96R";"X1";"CONNECTOR female, 96 pins, type R, rows ABC, grid 2.54 mm";"";"";"";"";
