"Refs","Value","Footprint","Qty"
"C1-C5","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","5"
"C6","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"J1","IDE 40","Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical","1"
"J2","POWER","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1"
"JP1","PIN20 5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"LED1","PWR green","LED_THT:LED_D5.0mm","1"
"LED2","ACT yellow","LED_THT:LED_D5.0mm","1"
"LED3","DASP red","LED_THT:LED_D5.0mm","1"
"R1-R4","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4"
"R5-R7","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3"
"RN1","10k x8","Resistor_THT:R_Array_SIP9","1"
"U1","74LS138","Package_DIP:DIP-16_W7.62mm","1"
"U2","74LS32","Package_DIP:DIP-14_W7.62mm","1"
"U3","74LS175","Package_DIP:DIP-16_W7.62mm","1"
"U4","74LS08","Package_DIP:DIP-14_W7.62mm","1"
"U5","74LS245","Package_DIP:DIP-20_W7.62mm","1"
"X1","DIN41612 96","blank-card-v3.2-eagle:FABC96R","1"
