"Refs","Value","Footprint","Qty"
"C1-C4","CPOL-US","io-v1.1-eagle:E2,5-6E","4"
"C5-C17","C-US","io-v1.1-eagle:C025-024X044","13"
"C18-C21","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","4"
"C22","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"DATA-ADDR0,IO-ADDR0","PINHD-2X8","io-v1.1-eagle:2X08","2"
"HI0,LO0","HTIL311A","io-v1.1-eagle:HTIL311A","2"
"IC1","XR-16C550P","io-v1.1-eagle:DIL40","1"
"IC2","MAX232","io-v1.1-eagle:DIL16","1"
"IC3","74*244","io-v1.1-eagle:DIL20","1"
"IC4,IC9,IC10","74*273","io-v1.1-eagle:DIL20","3"
"IC5","74*138","io-v1.1-eagle:DIL16","1"
"IC6,IC11","74*10","io-v1.1-eagle:DIL14","2"
"IC7","74*00","io-v1.1-eagle:DIL14","1"
"IC8","74*06","io-v1.1-eagle:DIL14","1"
"IC12","74LS32","Package_DIP:DIP-14_W7.62mm","1"
"IC13","74LS175","Package_DIP:DIP-16_W7.62mm","1"
"IC14","74LS08","Package_DIP:DIP-14_W7.62mm","1"
"IC15","74LS245","Package_DIP:DIP-20_W7.62mm","1"
"IN0,S0-S7","M9040P","io-v1.1-eagle:M9040P","9"
"INPUT0,INT0","PINHD-1X2","io-v1.1-eagle:1X02","2"
"IO-ADDR-HL0,JP1","PINHD-2X3","io-v1.1-eagle:2X03","2"
"J1","DB9","io-v1.1-eagle:DB9","1"
"J2","IDE 40","Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical","1"
"J3","POWER","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1"
"JP2","PIN20 5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"LED1","ACT yellow","LED_THT:LED_D5.0mm","1"
"OUT0,PWR0,UNK0-UNK7","LED","io-v1.1-eagle:LED5MM","10"
"R1,R3-R10","R-US_","io-v1.1-eagle:0207_10","9"
"R2","330","io-v1.1-eagle:0207_10","1"
"R11-R14","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4"
"R15","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"RN2","RNX6","io-v1.1-eagle:RN-7","1"
"RN3","10k x8","Resistor_THT:R_Array_SIP9","1"
"TM1","10k","io-v1.1-eagle:TRIM-3386","1"
"X1","FABC96R","io-v1.1-eagle:FABC96R","1"
"X2","HD44780LCD","io-v1.1-eagle:LCD1602","1"
"Y1","ECS-2100AX-200","io-v1.1-eagle:ECS-2100AX-200","1"
