"Refs","Value","Footprint","Qty"
"C1-C24","C-US","memory-v1.3-fusion-export-2026-09-24-eagle:C025-025X050","24"
"C25-C29","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","5"
"C30","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"IC1,IC2","62256P","memory-v1.3-fusion-export-2026-09-24-eagle:DIL28-6","2"
"IC3","74*32","memory-v1.3-fusion-export-2026-09-24-eagle:DIL14","1"
"IC4,IC18","74*30","memory-v1.3-fusion-export-2026-09-24-eagle:DIL14","2"
"IC5","74*245","memory-v1.3-fusion-export-2026-09-24-eagle:DIL20","1"
"IC6,IC14","74*04","memory-v1.3-fusion-export-2026-09-24-eagle:DIL14","2"
"IC7","74*138","memory-v1.3-fusion-export-2026-09-24-eagle:DIL16","1"
"IC8,IC9","74*244","memory-v1.3-fusion-export-2026-09-24-eagle:DIL20","2"
"IC10","74*00","memory-v1.3-fusion-export-2026-09-24-eagle:DIL14","1"
"IC11","74*157","memory-v1.3-fusion-export-2026-09-24-eagle:DIL16","1"
"IC12","74*74","memory-v1.3-fusion-export-2026-09-24-eagle:DIL14","1"
"IC13","28C64C","memory-v1.3-fusion-export-2026-09-24-eagle:DIL28-6","1"
"IC15","74*11","memory-v1.3-fusion-export-2026-09-24-eagle:DIL14","1"
"IC26-IC29","74*374","memory-v1.3-fusion-export-2026-09-24-eagle:DIL20","4"
"IC30","74LS138","Package_DIP:DIP-16_W7.62mm","1"
"IC31","74LS32","Package_DIP:DIP-14_W7.62mm","1"
"IC32","74LS175","Package_DIP:DIP-16_W7.62mm","1"
"IC33","74LS08","Package_DIP:DIP-14_W7.62mm","1"
"IC34","74LS245","Package_DIP:DIP-20_W7.62mm","1"
"J2","IDE 40","Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical","1"
"J3","POWER","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1"
"JP1","PINHD-1X3","memory-v1.3-fusion-export-2026-09-24-eagle:1X03","1"
"JP2","PIN20 5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"LED1","ACT yellow","LED_THT:LED_D5.0mm","1"
"PWR0","LED","memory-v1.3-fusion-export-2026-09-24-eagle:LED5MM","1"
"R2","330","memory-v1.3-fusion-export-2026-09-24-eagle:0207_10","1"
"R10-R13","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4"
"R14","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"RN5,RN6","RNX8","memory-v1.3-fusion-export-2026-09-24-eagle:RN-9","2"
"RN7,RN8","G08R","memory-v1.3-fusion-export-2026-09-24-eagle:SIL9","2"
"RN9","10k x8","Resistor_THT:R_Array_SIP9","1"
"U$1","PIN_3X8","memory-v1.3-fusion-export-2026-09-24-eagle:PIN_3X8","1"
"X1","FABC96R","memory-v1.3-fusion-export-2026-09-24-eagle:FABC96R","1"
